"matricula","carrera","periodo","numRepPrev","año","semestre","cantidad_asig","tasa_rep_carga","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","carrera_IA","carrera_IDeIO","carrera_ILyCS","carrera_II","carrera_IE","carrera_NI","carrera_TS","semestre_Otoño","complejidad_carga4","complejidad_carga5","año_encurso","carga_aprobada","recursando","total_recursando","depto","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular","depto_EyN","depto_TSGyH"
106466246,"Turismo Sustentable y Gestión Hotelera",201601,0,2016,"Primavera",5,6.7913730723088,1006,1030,940,1090,970,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,7,0,0,0,"TSGyH",0,"Regular",0,0,1,0,1
106466246,"Turismo Sustentable y Gestión Hotelera",201603,1,2016,"Otoño",5,12.0736057612682,1006,1030,940,1090,970,6,2010,1,1,0,3,0.2,0,0,0,0,0,0,1,1,2,1,7,0,1,1,"TSGyH",1,"Irregular",0,1,0,0,1
106466246,"Turismo Sustentable y Gestión Hotelera",201801,0,2018,"Primavera",1,9.72222222222222,1006,1030,940,1090,970,8,2010,1,1,0,1,0,0,0,0,0,0,0,1,0,4,1,9,1,1,1,"TSGyH",1,"",0,0,0,0,1
106466309,"Ingeniería Industrial",201601,0,2016,"Primavera",2,24.7058823529412,1054,1090,1090,940,1120,8.44444444444444,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,7,1,0,0,"CBeI",0,"Regular",0,0,1,0,0
106466327,"Ingeniería Industrial",201601,0,2016,"Primavera",5,18.2534686111784,1096,1180,1090,1120,1030,8.44444444444444,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,7,0,0,0,"CBeI",0,"Regular",0,0,1,0,0
106466327,"Ingeniería Industrial",201603,1,2016,"Otoño",5,23.9497977832827,1096,1180,1090,1120,1030,6,2010,0.5,0.5,0,3,0.2,0,0,0,1,0,0,0,1,4,5,7,0,1,1,"CBeI",0,"Irregular",0,1,0,0,0
106466329,"Ingeniería Industrial",201601,0,2016,"Primavera",1,13.8888888888889,1204,1270,1240,1150,1090,8.44444444444444,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,7,1,0,0,"CBeI",1,"Regular",0,0,1,0,0
106466330,"Negocios Internacionales",201603,0,2016,"Otoño",3,7.94558101477057,1234,1300,1210,1210,1210,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,1,4,1,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466349,"Ingeniería Industrial",201601,0,2016,"Primavera",3,7.86639442101627,934,910,970,940,910,8.44444444444444,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,7,0,0,0,"CBeI",0,"Regular",0,0,1,0,0
106466349,"Ingeniería Industrial",201603,1,2016,"Otoño",7,12.5251961440692,934,910,970,940,910,6.33333333333333,2010,0,0,1,3,0.333333333333333,0,0,0,1,0,0,0,1,4,1,7,0,0,0,"CBeI",0,"Irregular",0,1,0,0,0
